name,quadrant,ring,isNew,description,,,
Scrum,Arbetssätt/Metod,Tillämpa,FALSE,Agil metodik med roller och ritualer ,,,
SBE,Arbetssätt/Metod,Tillämpa,FALSE,Specification By Example. Ett sätt att arbeta fram och dokumentera krav som blir tydliga och enkla att förstå. Se även Cucumber.,,,
Kanban,Arbetssätt/Metod,Tillämpa,FALSE,Ett verktyg för att visualisera kommande och pågående arbete samt möjlighet att identifiera flaskhalsar i flödet och organisera arbetet.,,,
"Projektledning, agil",Arbetssätt/Metod,Tillämpa,FALSE,,,,
Kibana / Elastic search,Plattform,Tillämpa,FALSE,Elk stacken,,,
Mattermost,Plattform,Tillämpa,FALSE,"Chat, typ Slack",,,
McCloud,Plattform,Tillämpa,FALSE,Intern molntjänst för IaaS (Infrastructure as a Service) som utvecklats på Lantmäteriet för att skapa och underhålla servrar på ett automatiserat sätt,,,
OpenShift,Plattform,Tillämpa,FALSE,CaaS (Container as a Service) för drift av containers. Redhats anpassning av Kubernetes. ,,,
Prometheus,Plattform,Tillämpa,FALSE,Hämta mätdata och metrics från applikationer,,,
WSL,Plattform,Tillämpa,FALSE,Linux-distribution på Windows,,,
JMS,Plattform,Tillämpa,FALSE,,,,
Angular,Språk,Tillämpa,FALSE,Javascript-ramverk för att bygga Singe page-webapplikationer med komponenter,,,
React,Språk,Tillämpa,FALSE,Javascript-ramverk för att bygga Singe page-webapplikationer med komponenter,,,
gRPC,Språk,Avvakta,TRUE,"Kontraktsstyrt kommunikationsprotokoll som möjliggör kommunikation mellan backend-tjänster skrivna i olika språk. Användes en del tidigare, men popluriteten har sjunkit. Flyttades från Tillämpa till Avvakta vid uppdatering 2022-03-30.",,,
Java 11,Språk,Tillämpa,FALSE,,,,
Node.js,Språk,Tillämpa,FALSE,,,,
TypeScript,Språk,Tillämpa,FALSE,,,,https://knowit.sharepoint.com/sites/Local-KTG-Gavle/_layouts/15/Doc.aspx?sourcedoc=%7BFAD90330-8F37-40A6-9F1C-88529BF9C553%7D&file=Tech%20Radar.xlsx&action=default&mobileredirect=true&DefaultItemOpen=1
Kotlin,Språk,Tillämpa,FALSE,"Programmeringsspråk framtaget av Jetbrains. Används ofta i Android-utveckling, men har även blivit populärt i backend.",,,
Container med testdata,Verktyg,Tillämpa,FALSE,Docker eller liknande,,,
Infrastruktur som kod,Verktyg,Tillämpa,FALSE,,,,
Microservices,Verktyg,Tillämpa,FALSE,"Arkitekturprincip för system för att skapa mindre, oberoende beståndsdelar med avgränsade ansvarsområden för att möjliggöra lättrörlighet och återanvändbarhet.",,,
Cucumber,Verktyg,Tillämpa,FALSE,Vertyg för dokumentation av krav (Gherkin-syntax) samt testautomatisering av dessa krav,,,
Ansible,Verktyg,Tillämpa,FALSE,Vertyg för att skripta installationer av servrar och applikationer,,,
Create-react-app,Verktyg,Tillämpa,FALSE,Verktyg för att skapa nytt och uppdatera befintligt React-projekt,,,
Cypress,Verktyg,Tillämpa,FALSE,Vertyg för automatisering av testning av webbapplikationer,,,
SonarQube,Verktyg,Tillämpa,FALSE,"Automatisk kodanalys för att se tekniskt skuld, testtäckning, möjliga buggar och för stora klasser, mm",,,
.NET Core,Plattform,Tillämpa,TRUE,Gick från Utvärdera till Tillämpa 2022-03-30,,,
MS SQL Server,Plattform,Utvärdera,FALSE,,,,
TensorFlow,Plattform,Utvärdera,FALSE,Ramverk för AI/ML,,,
Java 17,Språk,Utvärdera,FALSE,"Efter Java 11 är detta nästa LTS. Inte fullt supportad ännu, så ligger kvar i utvärdera efter uppdatering 2022-03-30.",,,
GraphQL,Språk,Utvärdera,FALSE,,,,
Quarkus,Språk,Utvärdera,FALSE,,,,
AI/ML,Verktyg,Utvärdera,FALSE,,,,
BPM,Verktyg,Utvärdera,FALSE,,,,
Chaos Engineering,Verktyg,Utvärdera,FALSE,Injicera randomiserade problem i produktionsmiljö,,,
Consumer-Driven Contract Testing,Verktyg,Utvärdera,FALSE,,,,
DevSecOps,Verktyg,Utvärdera,FALSE,,,,
Service Mesh,Verktyg,Utvärdera,FALSE,Konfigurerbar infrastruktur för Microservices,,,
WireMock,Verktyg,Utvärdera,FALSE,Verktyg för att mocka REST-APIer via JSON-konfiguration,,,
GoCD,Verktyg,Prova,FALSE,Byggserver för CI/CD,,,
Matomo,Verktyg,Prova,FALSE,"Analysverkyg för webbapplikationer liknande Google Analytics, men med möjlighet att köra in-house.",,,
Cobol,Språk,Avvakta,FALSE,Programmeringsspåk för stordator,,,
SAFe by the book,Arbetssätt/Metod,Avvakta,FALSE,Ett stort paket med metder för att hantera beroenden mellan team och utvecklingsinsatser i stora organisationer,,,
"Projektledning, traditionell",Arbetssätt/Metod,Avvakta,FALSE,,,,
JMS/SOAP,Plattform,Avvakta,FALSE,Protokoll för kommunikation via meddelandebuss,,,
SOAP,Plattform,Avvakta,FALSE,Format för strukturering av XML för användning t ex via webbservices eller meddelandebuss,,,
JSF,Plattform,Avvakta,FALSE,,,,
Low-code plattformar,Plattform,Avvakta,FALSE,,,,
